idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
3336,-3.569714307785034,-2.385291814804077,-5.685245037078857,-5.113350868225098,-4.26505708694458,-4.201944828033447,-4.408125877380371,-4.04958963394165
3337,-4.978704452514648,-4.478033065795898,-2.7288451194763184,-2.5104575157165527,-3.631437301635742,-3.605996608734131,-2.87154221534729,-3.026031970977783
3338,-4.9794020652771,-3.8877973556518555,-3.0502240657806396,-2.2358415126800537,-3.605996608734131,-3.631437301635742,-3.026031970977783,-2.87154221534729
3339,-4.978704452514648,-4.478033065795898,-5.700976848602295,-5.341650009155273,-3.631437301635742,-3.605996608734131,-4.132187843322754,-4.2709150314331055
3340,-4.9794020652771,-3.8877973556518555,-5.989558696746826,-5.372674465179443,-3.605996608734131,-3.631437301635742,-4.2709150314331055,-4.132187843322754
3341,-4.978704452514648,-4.478033065795898,-5.743332862854004,-5.341678619384766,-3.631437301635742,-3.605996608734131,-4.04958963394165,-4.408125877380371
3342,-4.9794020652771,-3.8877973556518555,-5.685245037078857,-5.113350868225098,-3.605996608734131,-3.631437301635742,-4.408125877380371,-4.04958963394165
3343,-3.590752601623535,-3.2993662357330322,-2.7288451194763184,-2.5104575157165527,-2.705456018447876,-2.9162235260009766,-2.87154221534729,-3.026031970977783
3344,-3.674537181854248,-2.8034205436706543,-3.0502240657806396,-2.2358415126800537,-2.9162235260009766,-2.705456018447876,-3.026031970977783,-2.87154221534729
3345,-3.5907459259033203,-3.299355983734131,-5.700966835021973,-5.341636657714844,-2.705456018447876,-2.9162235260009766,-4.132187843322754,-4.2709150314331055
3346,-3.674530267715454,-2.803419351577759,-5.989543437957764,-5.372654914855957,-2.9162235260009766,-2.705456018447876,-4.2709150314331055,-4.132187843322754
3347,-3.5907459259033203,-3.299355983734131,-5.743330001831055,-5.3416571617126465,-2.705456018447876,-2.9162235260009766,-4.04958963394165,-4.408125877380371
3348,-3.674530267715454,-2.803419351577759,-5.685240745544434,-5.113338470458984,-2.9162235260009766,-2.705456018447876,-4.408125877380371,-4.04958963394165
3349,-3.5833075046539307,-3.7907135486602783,-3.4598302841186523,-3.697478771209717,-4.409271240234375,-4.553300857543945,-3.0666861534118652,-3.200258731842041
3350,-4.917381763458252,-4.003696918487549,-4.637226104736328,-3.8710246086120605,-4.553300857543945,-4.409271240234375,-3.200258731842041,-3.0666861534118652
3351,-3.5833075046539307,-3.7907135486602783,-5.9176106452941895,-6.365228176116943,-4.409271240234375,-4.553300857543945,-4.3364105224609375,-4.452452659606934
3352,-4.917381763458252,-4.003696918487549,-7.010472297668457,-6.170411586761475,-4.553300857543945,-4.409271240234375,-4.452452659606934,-4.3364105224609375
3353,-3.5833075046539307,-3.7907135486602783,-5.995537757873535,-6.212955474853516,-4.409271240234375,-4.553300857543945,-4.2764177322387695,-4.63140344619751
3354,-4.917381763458252,-4.003696918487549,-6.789603233337402,-6.213022232055664,-4.553300857543945,-4.409271240234375,-4.63140344619751,-4.2764177322387695
3355,-5.826485633850098,-5.737401008605957,-3.4598302841186523,-3.697478771209717,-4.071863174438477,-4.045335292816162,-3.0666861534118652,-3.200258731842041
3356,-6.333871364593506,-5.6472320556640625,-4.637226104736328,-3.8710246086120605,-4.045335292816162,-4.071863174438477,-3.200258731842041,-3.0666861534118652
